,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Albuquerque, NM",153134.09665377918,170259.00761938063,193305.91972135552,200215.21142864184,187486.92932102937,180903.7566140756,171329.02972452028,164757.2450241565,163877.7830598884,166668.56531744427,169546.3791116547
1,"Atlanta, GA",179505.70706820185,186545.6016358247,192300.4814371747,191047.16747768235,171838.82835744057,152781.21085792466,139138.93314258137,125489.46994623018,131061.11555003708,154395.39483579254,169023.9332571948
2,"Austin, TX",186656.87802022783,192941.3852110844,199709.9936627977,207084.2384751653,201617.90676154103,198154.57712259973,192188.4682309729,190162.5734561691,201536.7160138672,223587.27079857385,248561.1051651803
3,"Baltimore, MD",240788.2638526802,287923.88522722217,308939.030866428,304359.4937159394,278858.0685201346,259095.85829027605,245870.769189258,232832.5062670987,240968.1897062825,253533.2865780904,259239.08282430572
4,"Boston, MA",382715.968492721,398584.1157533663,377807.7125171619,362087.0487478172,335987.7475930564,329631.9047846941,328532.8761178665,314696.99558469857,329627.2669276521,356868.3731855373,375171.9118105902
5,"Buffalo, NY",106986.2064736467,113148.2479313757,118401.98944289202,120363.5138744734,121148.31289654586,123696.3640407959,124964.8632414523,122728.50679586345,124598.55236096056,130046.76098883648,133706.55059764988
6,"Charlotte, NC",158158.77813357208,163575.50105612815,171928.97741144805,179513.45532335388,171800.45585277927,163543.22569762744,154086.6303000778,145167.4519616901,149210.00680160953,160115.64260903353,167340.16168305368
7,"Chicago, IL",225717.5876667822,246012.88796886124,255288.26253275215,250497.66396981303,223765.06668962003,201582.84284978887,186465.25207856935,170878.65327552307,167263.69485876928,186017.9032578377,196689.31774051444
8,"Cincinnati, OH",152092.4968511574,156955.3959392762,159202.015388047,156781.6649590662,149453.60140062313,145555.41035965926,141293.0570614894,134287.13410296242,135560.42106646072,141983.10591043404,146468.34625634077
9,"Cleveland, OH",142794.30341856062,147024.69465790427,146576.0271516403,141066.64237848984,132698.2568341987,127238.53764698212,121999.9120144517,114934.09312925005,116848.59524957114,120420.79595328272,122229.45417021187
10,"Columbus, OH",151478.69934290147,155521.10143931536,156101.63251752252,153107.76332206366,147981.7388946769,142587.86764826058,139393.7546367691,132484.88465393518,132411.504985481,141271.85217544483,150138.9399140556
11,"Dallas, TX",147163.84587114662,149820.39788059596,154261.6063523976,155765.40549700812,147353.90758311856,148283.67509073712,143571.88462096194,139809.6763727025,147788.35519213064,160270.77072587577,173311.49441490797
12,"Denver, CO",245011.19290703657,249682.28754727912,248671.77703864072,242442.36521017065,231580.69922562377,230834.65984005656,225020.1061753463,219535.37503587035,238259.9342856819,262831.12445746,289884.0986462157
13,"Detroit, MI",158142.2409558042,160898.7723456178,156493.58509545875,142995.965980355,114234.16492058447,92301.67594776278,86113.85001588821,81653.55451241764,90971.77383745524,112667.682723883,124581.9464033254
14,"Fresno, CA",228079.66618520385,287424.36469069635,296337.3960943374,260443.99746274645,190998.15137686496,167148.7521075285,157379.2453650726,139435.15089448102,155806.25710606948,182425.196863447,195926.52620601663
15,"Houston, TX",143523.2431130552,146047.592639357,151635.5557539553,154600.25496091752,148187.32834115092,148902.5873713802,144841.17759128017,139720.48754546625,143032.54845129888,157609.78979035394,175697.4260447675
16,"Jacksonville, FL",174047.38970532382,204591.2547427237,227424.42514223768,216510.99810315645,189305.2130106391,167010.2251929382,150834.09371392196,136169.575526017,140099.70538975252,157338.64821027205,166755.05577152074
17,"Memphis, TN",126389.12148592233,131612.6808933036,136456.25699245764,134213.5745000033,122717.98767619173,115172.70900453464,111071.09704419518,106706.29049155308,108248.15718336856,113545.72238184592,119393.46533464995
18,"Miami, FL",216890.71416734616,275177.41458812123,303927.6755568671,267602.8625190552,199707.83870374743,164619.66577709952,152691.1459343502,145963.48680337632,157538.43258844712,187629.3325009027,211403.4555078627
19,"Milwaukee, WI",201911.37012771968,218158.2030800915,221919.1376831221,220344.35584630407,203325.76139759852,197350.3886605111,185973.7366702332,173688.83203736696,174292.19179244814,183205.319130308,188381.40578371275
20,"Minneapolis, MN",238437.48990304396,251872.9559222289,252019.77731688705,241077.66358309356,214389.7325333211,203061.05625798707,192552.47992100733,174122.4587844959,190503.62725393265,211845.7195593744,221518.44525005008
21,"Omaha, NE",141894.64337536448,147507.47241024103,151858.73250696677,149156.57248129786,141249.8443689566,147027.44995937982,139988.832400208,137605.8663236321,140149.90328763562,145201.77904513633,149227.00249100232
22,"Orlando, FL",182152.54385896985,241485.8322640411,266076.1781927384,240915.3840248386,182059.6272482045,147762.60113834796,133568.71241948867,124046.84017194338,135615.3189961874,161325.0944834055,175805.4594647542
23,"Philadelphia, PA",199515.35174020875,228025.85421818795,239576.54138434285,239167.0385013781,226266.9619746527,219674.68977462765,212111.8808989101,200090.90725934436,198223.55083396935,204522.17446841064,207392.47204324015
24,"Phoenix, AZ",200405.06040396632,286482.7443987717,290097.9526438539,263124.9234273958,188846.940312373,159756.42676940953,141663.64242196394,134495.96609810958,165192.7456072611,196380.34853641735,204581.6239221508
25,"Pittsburgh, PA",108481.24552782754,113226.53024566296,115856.98198185816,118485.66545051128,117640.899683844,120418.70618046972,122541.1398078701,121071.43261729542,122996.5450955672,127490.28642963484,132416.11963727855
26,"Portland, OR",224313.2629337253,271016.156204153,305623.00865762396,309033.61589653464,279472.377913081,256840.6044002131,239948.4712153008,221911.4910860377,235544.77703812555,265062.03021897067,286777.3622696665
27,"Raleigh, NC",192476.6223675505,202293.96736478203,214837.58697030073,223589.2268841575,216287.7612294388,209981.76619120224,204561.25415059735,194434.98596198732,198460.7395195776,208857.6813447367,218868.4280223216
28,"Sacramento, CA",370444.2367883933,432095.33133539464,406381.0528990745,350605.2567962675,271752.49017851544,242502.74479773224,229964.9443130704,207878.78417973453,229421.82640177023,290664.7370257174,311321.38103884045
29,"Seattle, WA",299643.15281371184,352198.21291001636,398889.7747150215,405935.6889660835,357748.3020291566,323666.74870830384,297615.0726461617,266714.37445676984,271791.4001730326,306945.2879999953,328651.2629877088
30,"Tampa, FL",169048.25247032347,211507.50886467085,227733.6992468868,201667.48640555592,161729.67031551842,139153.28347378114,128574.88512378924,116206.52938556384,124118.31220575485,143187.8334544939,154836.49686805205
31,"Tucson, AZ",174185.07201407175,226725.2392351481,235879.68025022896,223009.08064913825,191140.58020343995,171524.1348380214,156746.03982198337,136212.56484571393,153919.23960846025,167351.14424684123,172410.65188458396
32,"Tulsa, OK",119011.42851215924,122572.23661016046,126631.15575313225,128703.7256093837,128249.2978292459,128489.29244153954,126555.34595007791,122320.5958559984,124317.41652800316,127282.1576029435,132175.71273875862
33,"Washington, DC",353870.31062375807,425827.4468527352,431580.1150266503,401361.6722959774,339165.9925361583,319790.0671572357,318414.8118626578,314068.0955185042,336099.63154273556,362697.9047963016,373022.6968560163
34,"Wichita, KS",109902.90989427968,107354.06881968156,111378.1487737021,114261.77791867852,115047.3007874122,117629.0321660835,114371.62730207788,110632.66039867314,111972.28711348514,112149.5964200725,115130.54646080248
